Material,SLoc,Quantity,Pstng Date,order,Equipment,Technician name
594479,5021,-1,1/24/2026,59820994,,
594479,5021,-1,1/24/2026,59821038,,
594479,5021,1,3/5/2026,59821038,,
594479,5021,1,3/5/2026,59820994,,
594479,5019,-3,3/13/2025,98828323,,
594479,5090,-1,4/21/2025,,,
594479,5023,-1,4/29/2025,58241806,,
594479,5023,-1,4/29/2025,58241832,,
594479,5023,1,4/30/2025,58241806,,
594479,5023,1,4/30/2025,58241832,,
594479,5001,-1,6/10/2025,,,
594479,5019,-2,6/30/2025,99098224,,
594479,5019,-2,7/2/2025,99098224,,
594479,5019,2,7/2/2025,99098224,,
594479,5001,-1,8/30/2025,59124884,,
594479,5030,-1,8/13/2025,25264048,,
594479,5021,-1,11/21/2025,59751186,,
594479,5021,1,12/1/2025,59751186,,
594479,5019,-1,2/16/2024,97988564,,
594479,5032,1,3/20/2024,55510842,,
594479,5032,-1,3/20/2024,55510842,,
594479,5032,-1,3/20/2024,55510848,,
594479,5032,1,3/20/2024,55510848,,
594479,5042,-1,3/28/2024,11555009,,
594479,5019,-3,5/3/2024,97883776,,
594479,5041,-1,5/7/2024,55813279,,
594479,5032,-1,5/21/2024,11555354,,
594479,5001,-1,5/27/2024,,,
594479,50TC,1,7/15/2024,85005014,,
594479,50TC,1,9/18/2024,85005014,,
594479,5001,-1,10/12/2024,56906688,,
594479,5001,-1,10/18/2024,56953751,,
594479,5019,-2,11/6/2024,98574501,,
594479,5019,-1,11/6/2024,98574501,,
594479,5019,1,11/6/2024,98574501,,
594479,5019,1,11/6/2024,98574501,,
594479,5019,-1,11/6/2024,98574501,,
594479,50TC,1,12/10/2024,85010187,,
594479,5061,-1,1/17/2023,11170497,,
594479,5023,-1,3/23/2023,11626599,,
594479,5023,1,3/25/2023,11626600,,
594479,5023,-1,3/25/2023,11626600,,
594479,5022,-1,9/9/2023,54314149,,
594479,5019,-2,10/10/2023,97672145,,
594479,5042,-1,11/24/2023,11231389,,
594479,5042,-1,11/24/2023,11231396,,
594479,5042,-1,11/24/2023,11231386,,
594479,5019,-2,12/14/2023,97734088,,
594479,5090,-1,12/22/2023,,,
594479,5061,-1,2/25/2021,10673029,,
594479,5061,-1,2/25/2021,20052206,,
594479,5003,-1,4/21/2021,50095944,,
594479,5003,1,6/1/2021,50095944,,
594479,50TC,-1,8/26/2021,,,
594479,50TC,1,8/26/2021,85010172,,
594479,50TC,1,12/25/2021,85010188,,
594479,50TC,-1,12/25/2021,,,
594479,5019,-5,1/25/2022,96476600,,
594479,5019,5,1/25/2022,96476600,,
594479,5019,-5,1/25/2022,96476600,,
594479,5023,-1,3/4/2022,51314429,,
594479,5019,-4,3/29/2022,96628507,,
594479,5023,1,4/21/2022,51314429,,
594479,5003,-1,8/17/2022,51888493,,
594479,5003,-1,8/17/2022,51888502,,
594479,5003,-1,8/17/2022,51888506,,
594479,5061,-1,11/12/2022,11629427,,
594479,5041,-1,12/5/2022,10667885-9,,
594479,5005,-1,6/23/2020,11174885,,
594479,5003,1,10/8/2020,45968170,,
594479,5030,-1,12/7/2020,10857860,,
